layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
4,27,0.9997712,0.0019768332,0.0040370068,0.03927335,0.0,0.0,1.0,0.9743589743589743,0.9384615384615386,1.0,5.152402
5,27,0.9998501,0.0014591805,0.0026996122,0.022892088,0.0,0.0,1.0,1.0,1.0,0.9923076923076923,3.5893419
0,28,0.99996114,0.00021709541,0.0006511916,0.017030656,0.0,0.0,1.0,1.0,0.9904761904761905,0.9880952380952381,1.3909044
1,28,0.9998438,0.00048990495,0.0016636857,0.05595258,0.0,0.00472411186696901,0.9523809523809523,1.0,0.9904761904761905,0.9928571428571429,4.6574335
2,28,0.99965733,0.0006616057,0.002512403,0.05396095,0.0,0.00944822373393802,1.0,0.9682539682539681,0.9857142857142857,0.9833333333333334,5.002396
3,28,0.99964774,0.00071725337,0.002911709,0.057855517,0.0,0.01889644746787604,1.0,0.9841269841269842,0.961904761904762,0.980952380952381,7.051167
4,28,0.9996768,0.0007771829,0.002588991,0.047650367,0.0,0.0,1.0,0.9761904761904762,0.9714285714285713,0.9785714285714286,8.171135
5,28,0.9997537,0.0006818033,0.0018375604,0.04925087,0.0,0.0,1.0,0.976190476190476,0.9714285714285713,0.9761904761904762,7.0639653
0,29,0.9999609,0.00022007329,0.0006561615,0.019267738,0.0,0.0,1.0,1.0,0.9951219512195121,0.9975609756097561,1.4292208
1,29,0.999785,0.0005750746,0.001976492,0.04954204,0.0,0.0,0.975609756097561,0.9837398373983739,0.9951219512195121,0.9853658536585367,4.66855
2,29,0.99962956,0.0007238257,0.002626967,0.08657044,0.0,0.009914733293674401,1.0,0.975609756097561,0.9902439024390244,0.9780487804878049,5.5913177
3,29,0.999669,0.0006986642,0.0029471207,0.07625085,0.0,0.034701566527860404,1.0,0.991869918699187,0.9804878048780489,0.973170731707317,7.8295207
4,29,0.9997144,0.0007889523,0.0025705567,0.054731667,0.0,0.0049573666468372005,1.0,0.9837398373983739,0.9853658536585367,0.9804878048780489,9.397614
5,29,0.9995811,0.00084553735,0.002203981,0.03676778,0.0,0.0,1.0,0.991869918699187,0.9902439024390243,0.9829268292682927,6.7662873
0,30,0.999961,0.00020228872,0.0006329499,0.023090243,0.0,0.0,1.0,1.0,0.9955555555555555,0.9977777777777778,1.4570618
1,30,0.9998016,0.0005022673,0.0017673875,0.04179734,0.0,0.0,1.0,1.0,0.9911111111111112,0.9888888888888889,4.27352
2,30,0.9996666,0.00059523486,0.002273324,0.058274895,0.0,0.02469135802469136,1.0,0.985185185185185,0.9822222222222223,0.9844444444444446,4.828234
3,30,0.99967134,0.00067349325,0.0026610016,0.049256906,0.0,0.0,1.0,0.9777777777777777,0.9822222222222223,0.9933333333333334,6.899029
4,30,0.9997039,0.00069994066,0.0022710331,0.04842156,0.0,0.0,1.0,0.9925925925925927,0.9688888888888888,0.9888888888888889,6.586618
5,30,0.9997786,0.0006086756,0.0014824184,0.03969285,0.0,0.0,1.0,1.0,0.9599999999999999,0.9688888888888888,6.1452985
0,31,0.9999449,0.00021057368,0.00073671597,0.02642715,0.0,0.0,0.9777777777777777,1.0,1.0,0.9955555555555555,1.4279451
1,31,0.99983233,0.00046855488,0.0017903175,0.07044321,0.0,0.00411522633744856,1.0,0.9777777777777777,0.9911111111111112,0.9888888888888887,4.822098
2,31,0.9994957,0.0007283956,0.0028208073,0.071462035,0.0,0.02880658436213992,1.0,0.9851851851851853,0.9733333333333333,0.9888888888888889,5.5282397
3,31,0.9996854,0.0006501234,0.0027016255,0.0506863,0.0,0.00411522633744856,1.0,0.9777777777777777,0.9688888888888888,0.9844444444444446,6.975043
4,31,0.9997236,0.0007437444,0.0025601352,0.053643584,0.0,0.00823045267489712,1.0,0.9925925925925926,0.9777777777777777,0.9666666666666666,8.305603
5,31,0.99963915,0.00070980744,0.0018050957,0.03770125,0.0,0.0,1.0,0.9925925925925926,0.9911111111111112,0.98,5.6713395
0,32,0.99996364,0.00018230198,0.0005813033,0.01604259,0.0,0.0,1.0,1.0,0.9918367346938776,0.9959183673469387,1.416487
1,32,0.9997681,0.00045751015,0.0018411571,0.0809288,0.0,0.013883104262113009,0.9795918367346939,0.9727891156462586,1.0,0.9877551020408164,4.270132
2,32,0.99957675,0.0006087095,0.0023964697,0.08090651,0.0,0.01735388032764126,1.0,0.9795918367346939,0.9836734693877551,0.9877551020408164,5.171704
3,32,0.9996995,0.0005837744,0.0024359978,0.057242572,0.0,0.010412328196584757,1.0,0.9863945578231293,0.9755102040816326,0.9938775510204081,6.6994333
4,32,0.99966705,0.0006711803,0.0023515031,0.049580634,0.0,0.0,1.0,0.9727891156462585,0.9795918367346939,0.9673469387755101,7.086142
5,32,0.9997783,0.0004921344,0.0013413458,0.032027215,0.0,0.0,0.9183673469387755,1.0,0.9714285714285713,0.9755102040816326,5.1513424
0,33,0.99996203,0.00018600287,0.0005947695,0.01486975,0.0,0.0,0.9795918367346939,1.0,0.9918367346938776,0.9918367346938776,1.4616731
1,33,0.9998598,0.00041062935,0.0015101578,0.035562366,0.0,0.0,0.9795918367346939,0.9931972789115646,0.9877551020408164,0.9836734693877551,4.108801
2,33,0.999574,0.0006273503,0.0024564036,0.06118846,0.0,0.010412328196584757,1.0,0.9727891156462585,0.9591836734693877,0.9816326530612245,5.6854067
3,33,0.9996323,0.0006394858,0.0026347954,0.05540493,0.0,0.01735388032764126,1.0,1.0,0.9836734693877551,0.9795918367346937,6.9256315
4,33,0.99961674,0.00074033265,0.0024553353,0.0603666,0.0,0.003470776065528252,1.0,0.965986394557823,0.963265306122449,0.9816326530612245,7.998655
5,33,0.99958867,0.00062655646,0.0016880715,0.043295532,0.0,0.0,1.0,0.9863945578231291,0.9959183673469387,0.9877551020408163,5.136547
0,34,0.99995863,0.00019400321,0.0006159551,0.018815756,0.0,0.0,0.9795918367346939,0.9931972789115646,1.0,1.0,1.5004838
1,34,0.9998128,0.0004585272,0.0016585926,0.03633076,0.0,0.0,0.9795918367346939,1.0,0.9714285714285713,0.9918367346938776,4.284921
2,34,0.99963987,0.0005750266,0.002171817,0.05281824,0.0,0.003470776065528252,1.0,0.9863945578231293,0.9959183673469387,0.9897959183673469,4.8787994
3,34,0.9996749,0.00058636593,0.002444963,0.05192554,0.0,0.003470776065528252,1.0,0.9931972789115646,0.9795918367346939,0.9857142857142858,6.4340844
4,34,0.99963033,0.00071488373,0.0022931406,0.051158965,0.0,0.003470776065528252,1.0,0.9727891156462586,0.9836734693877551,0.9795918367346939,6.9927664
5,34,0.9996367,0.000706432,0.0019343726,0.03076446,0.0,0.0,1.0,1.0,0.9755102040816326,0.9755102040816326,5.842833
0,35,0.9999528,0.00020166588,0.0006594368,0.018823534,0.0,0.0,1.0,1.0,0.9833333333333334,0.99375,1.4724427
1,35,0.9998268,0.00045961118,0.00164914,0.044940203,0.0,0.0,0.9791666666666666,1.0,0.9708333333333333,0.9854166666666666,4.3545995
2,35,0.99953544,0.00064665143,0.0025458913,0.06777322,0.0,0.021701388888888888,1.0,0.9722222222222222,0.9833333333333334,0.9895833333333334,5.5339413
3,35,0.9995754,0.0006722694,0.0028650628,0.07094315,0.0,0.025318287037037035,1.0,0.986111111111111,0.975,0.9854166666666666,7.1702504
4,35,0.9995586,0.0007826297,0.002685014,0.06139934,0.0,0.0036168981481481477,1.0,0.986111111111111,0.9666666666666667,0.9854166666666667,7.8469405
5,35,0.9996247,0.00065913465,0.001714357,0.027578175,0.0,0.0,0.9583333333333334,1.0,0.9916666666666667,0.9916666666666667,5.4938164
0,36,0.99996424,0.00019248576,0.00059125817,0.014445096,0.0,0.0,1.0,1.0,0.9914893617021275,0.9936170212765958,1.4138594
1,36,0.9998445,0.0004403736,0.0015646761,0.042374432,0.0,0.0,0.9361702127659575,0.9858156028368793,0.9914893617021276,0.9872340425531915,4.162161
2,36,0.9996476,0.0005980895,0.0022415263,0.067321986,0.0,0.011317338162064282,1.0,0.9929078014184397,0.9914893617021276,0.9893617021276596,5.1524863
3,36,0.9997222,0.0005877547,0.00235432,0.06079209,0.0,0.007544892108042855,1.0,0.9787234042553191,0.9829787234042554,0.9808510638297873,6.530303
4,36,0.999597,0.0007671332,0.0025847391,0.053645194,0.0,0.007544892108042855,1.0,0.9361702127659572,0.9702127659574467,0.9808510638297872,7.877049
5,36,0.9996672,0.0007066751,0.001766509,0.041404992,0.0,0.0,1.0,1.0,0.9829787234042554,0.9723404255319149,6.785981
0,37,0.9999365,0.00023196587,0.0007989452,0.022833526,0.0,0.0,0.9767441860465116,1.0,1.0,0.9976744186046511,1.4960977
1,37,0.99979126,0.0005466183,0.0018752869,0.045342043,0.0,0.0,0.9767441860465116,0.9767441860465116,0.9906976744186047,0.9930232558139536,4.500642
2,37,0.9997084,0.0006096544,0.0021973422,0.06276825,0.0,0.013520822065981613,1.0,0.9767441860465115,0.9813953488372094,0.9883720930232558,4.7984385
3,37,0.9997026,0.00065287197,0.002636299,0.0498029,0.0,0.0,1.0,0.9767441860465116,0.9953488372093022,0.9883720930232558,6.5756955
4,37,0.9996512,0.000799498,0.00259246,0.071340084,0.0,0.0045069406886605375,1.0,1.0,0.9860465116279071,0.9767441860465116,7.5546436
5,37,0.9996911,0.0007546184,0.0019044351,0.038805336,0.0,0.0,1.0,0.9844961240310076,0.9441860465116277,0.9837209302325582,5.840843
0,38,0.9999446,0.00020733832,0.0007227423,0.025359333,0.0,0.0,1.0,0.9929078014184398,0.9957446808510638,0.9978723404255319,1.4833415
1,38,0.99984217,0.00045269122,0.0015573723,0.040463775,0.0,0.0,0.9787234042553191,0.9858156028368795,0.9872340425531916,1.0,4.348142
