layer,prompt_id,cosine_similarity,mae,rmse,max_error,drift_pct_01,drift_pct_05,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,relative_diff
11,27,0.99974537,0.0021455965,0.005599411,0.052811503,0.0,0.06887052341597796,1.0,0.9696969696969696,0.9636363636363637,1.0,3.306402
0,28,0.9999771,0.00015792837,0.00064637756,0.018630981,0.0,0.0,1.0,0.9916666666666668,0.9949999999999999,0.9974999999999999,0.6871633
1,28,0.9995842,0.0007163614,0.0023020487,0.075381875,0.0,0.010416666666666668,1.0,0.9916666666666666,0.9600000000000002,0.99,2.1853833
2,28,0.9969129,0.0017094534,0.006917015,0.1756329,0.07291666666666667,0.3385416666666667,0.925,0.95,0.9850000000000001,0.9850000000000001,6.1142282
3,28,0.9963901,0.0021345983,0.008878123,0.14232475,0.057291666666666664,0.8958333333333334,0.975,0.95,0.985,0.975,8.047401
4,28,0.998521,0.0014414466,0.006048969,0.11306214,0.010416666666666668,0.34375,1.0,0.9916666666666668,0.9850000000000001,0.985,6.6111846
5,28,0.99920064,0.0010991151,0.0047864295,0.083269596,0.0,0.203125,1.0,0.9583333333333333,0.9600000000000002,0.99,6.527678
6,28,0.9994607,0.00094411016,0.0039070365,0.06877023,0.0,0.07291666666666667,1.0,0.9833333333333334,0.9850000000000001,0.99,5.359838
7,28,0.9994808,0.00087717304,0.0042112703,0.11541331,0.005208333333333334,0.13541666666666669,1.0,0.9583333333333333,0.975,0.9824999999999999,6.7871256
8,28,0.99950236,0.00095428654,0.0037325546,0.06945723,0.0,0.036458333333333336,1.0,0.9583333333333333,0.975,0.9825000000000002,5.0788536
9,28,0.99975437,0.0006258438,0.0029252158,0.05423218,0.0,0.015625,1.0,1.0,0.9800000000000001,0.9800000000000001,4.788933
10,28,0.9997646,0.00059369364,0.0028729173,0.069414794,0.0,0.026041666666666668,1.0,0.975,0.96,0.9875,4.5534077
11,28,0.9997316,0.00072466105,0.0029825494,0.07740402,0.0,0.020833333333333336,1.0,0.9583333333333334,0.96,0.9875,3.756525
0,29,0.99998206,0.00016661035,0.00059124926,0.011517465,0.0,0.0,1.0,1.0,0.9894736842105262,0.9973684210526316,0.700877
1,29,0.9996796,0.00070420414,0.002013594,0.046763808,0.0,0.0,0.9473684210526315,0.982456140350877,0.9789473684210527,0.9868421052631579,1.920999
2,29,0.9977338,0.0015998906,0.006157306,0.14936116,0.01731301939058172,0.2943213296398892,0.8947368421052632,0.9649122807017543,0.9894736842105264,0.9973684210526316,5.26296
3,29,0.9970225,0.0019980848,0.008405197,0.13226722,0.07502308402585411,0.8021698984302862,1.0,0.9385964912280703,0.9789473684210526,0.9842105263157894,7.05186
4,29,0.99857205,0.0015177978,0.006312578,0.13906446,0.023084025854108955,0.34048938134810713,1.0,1.0,0.9684210526315788,0.9763157894736842,7.1894116
5,29,0.9992453,0.0011553643,0.004757074,0.08401847,0.0,0.144275161588181,1.0,0.9736842105263156,0.9789473684210526,0.9763157894736842,6.9748936
6,29,0.9992831,0.0010993361,0.0045801206,0.101961315,0.005771006463527239,0.16735918744228995,1.0,0.982456140350877,0.9684210526315788,0.9842105263157894,5.480344
7,29,0.9995295,0.0009058711,0.0040247752,0.11429989,0.005771006463527239,0.10387811634349031,1.0,0.9736842105263156,0.9842105263157894,0.9763157894736842,6.006957
8,29,0.9993501,0.0010703142,0.0043493975,0.101543605,0.005771006463527239,0.12696214219759927,1.0,0.9561403508771928,0.9789473684210527,0.9736842105263158,5.2961903
9,29,0.9996057,0.0008085986,0.003705156,0.06832969,0.0,0.10387811634349031,1.0,0.9649122807017543,0.9789473684210526,0.9894736842105264,5.1332426
